INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
4004 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007140040,12/09/2021,Open,Graffiti Reported,,982973,176312,40.650613,-74.004602,11232,  82  ,3010600,Sunset Park West,"(40.650613, -74.004602)"
2106 EAST   23 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073550010,09/29/2021,Open,Site downloaded for cleaning,,998563,157626,40.599312,-73.948459,11229, 576  ,3199891,Madison,"(40.599312, -73.948459)"
2103 DAVIDSON AVENUE,BRONX,05 BRONX,Precinct 46,14,2031940043,11/11/2021,Open,Site downloaded for cleaning,,1009920,250891,40.855276,-73.907206,10453, 251  ,2014177,University Heights-Morris Heights,"(40.855276, -73.907206)"
112 WEST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005250027,10/07/2021,Open,Site downloaded for cleaning,,984016,204289,40.727403,-74.000844,10012,  65  ,1008254,West Village,"(40.727403, -74.000844)"
43-10 NATIONAL STREET,QUEENS,04 QUEENS,Precinct 110,21,4016280043,09/08/2021,Open,Graffiti Reported,,1021991,211358,40.746725,-73.863793,11368, 409  ,4040720,North Corona,"(40.746725, -73.863793)"
26 PUTNAM AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019910019,06/09/2021,Open,Graffiti Reported,,995087,188030,40.682769,-73.960927,11238, 227  ,3335085,Clinton Hill,"(40.682769, -73.960927)"
152 ATTORNEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,02,1003450002,09/02/2021,Open,Site downloaded for cleaning,,988840,201720,40.720331,-73.983449,10002,  2201,1004127,Lower East Side,"(40.720331, -73.983449)"
5401 FLATLAND AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46,3077800015,08/23/2021,Open,Site downloaded for cleaning,,1005379,168323,40.628659,-73.923881,11234, 728  ,3215722,Flatlands,"(40.628659, -73.923881)"
4405 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3007420008,09/14/2021,Open,Site downloaded for cleaning,,984164,174039,40.644374,-74.000310,11220,  94  ,3011417,Sunset Park East,"(40.644374, -74.00031)"
47 MARKET STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002760025,08/27/2021,Open,Graffiti Reported,,985822,198672,40.711986,-73.994330,10002,   8  ,1003303,Chinatown,"(40.711986, -73.99433)"
55 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003490024,12/07/2021,Open,Site downloaded for cleaning,,988462,201455,40.719623,-73.984805,10002,  3001,1004227,Chinatown,"(40.719623, -73.984805)"
1704 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066070006,08/27/2021,Open,Site downloaded for cleaning,,991628,161885,40.611013,-73.973427,11230, 438  ,3174681,Ocean Parkway South,"(40.611013, -73.973427)"
154 GEORGE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031580126,06/24/2021,Open,Graffiti Reported,,1003968,195775,40.704012,-73.928884,11237, 427  ,3258684,Bushwick North,"(40.704012, -73.928884)"
215 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004277507,07/11/2021,Open,Site downloaded for cleaning,,986616,202607,40.722786,-73.991464,10002,  3601,1090397,Chinatown,"(40.722786, -73.991464)"
51 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031050025,10/13/2021,Open,Site downloaded for cleaning,,1000180,195507,40.703284,-73.942546,11206, 491  ,3071506,East Williamsburg,"(40.703284, -73.942546)"
5413 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46,3078790005,10/21/2021,Open,Graffiti Reported,,1005685,164882,40.619214,-73.922789,11234, 690  ,3220167,Flatlands,"(40.619214, -73.922789)"
108-02 35 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4017510047,07/16/2021,Open,Graffiti Reported,,1022941,214539,40.755452,-73.860347,11368, 381  ,4462318,North Corona,"(40.755452, -73.860347)"
573 KINGS HIGHWAY,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066610038,06/08/2021,Open,Site downloaded for cleaning,,993050,159654,40.604886,-73.968308,11223, 422  ,3177378,Homecrest,"(40.604886, -73.968308)"
4715 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3007690103,09/14/2021,Open,Site downloaded for cleaning,,983668,173412,40.642653,-74.002097,11220,  94  ,3012505,Sunset Park East,"(40.642653, -74.002097)"
4124 2 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007160045,12/11/2021,Open,Graffiti Reported,,980954,177531,40.653958,-74.011879,11232,   2  ,3337130,Sunset Park West,"(40.653958, -74.011879)"
175-25 HORACE HARDING EXPRESSWAY,QUEENS,11 QUEENS,Precinct 111,20,4068900011,06/24/2021,Open,Graffiti Reported,,1041401,208665,40.739229,-73.793766,11365,1417  ,4148795,Auburndale,"(40.739229, -73.793766)"
1541 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037740008,09/03/2021,Open,Site downloaded for cleaning,,1017987,241211,40.828680,-73.878094,10472,  54  ,2025223,West Farms-Bronx River,"(40.82868, -73.878094)"
4501 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007470009,12/08/2021,Open,Property Research Required,,981546,175790,40.649179,-74.009744,11220,  80  ,3011533,Sunset Park West,"(40.649179, -74.009744)"
2398 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2031520046,12/20/2021,Open,Site to be cleaned.,,1012384,252728,40.859940,-73.898487,10458, 23702,2013586,Bedford Park-Fordham North,"(40.85994, -73.898487)"
5015 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056440004,11/04/2021,Open,Site downloaded for cleaning,,983182,172799,40.640970,-74.003848,11220, 108  ,3137810,Sunset Park East,"(40.64097, -74.003848)"
231 BROAD STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5005410027,08/18/2021,Open,Site downloaded for cleaning,,961424,166543,40.623769,-74.082227,10304,  21  ,5106866,Stapleton-Rosebank,"(40.623769, -74.082227)"
2421 GRANDCONCOURSE,BRONX,05 BRONX,Precinct 46,14,2031650042,12/20/2021,Open,Site to be cleaned.,,1012452,252906,40.860683,-73.898110,10468, 23703,2013801,Fordham South,"(40.860683, -73.89811)"
6915 8 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058770001,08/21/2021,Open,Graffiti Reported,,980075,168878,40.630207,-74.015041,11228, 132  ,3339550,Dyker Heights,"(40.630207, -74.015041)"
843 MANIDA STREET,BRONX,02 BRONX,Precinct 41,17,2027400089,10/03/2021,Open,Site downloaded for cleaning,,1014790,237152,40.817551,-73.889664,10474,  93  ,2005992,Hunts Point,"(40.817551, -73.889664)"
1315 LOOMIS STREET,BRONX,11 BRONX,Precinct 49,13,2042090076,08/25/2021,Open,Graffiti Reported,,1027387,249077,40.850229,-73.844077,10461, 296  ,2046963,Pelham Parkway,"(40.850229, -73.844077)"
16 SECOND AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004420007,11/09/2021,Open,Site downloaded for cleaning,,986802,203157,40.724296,-73.990793,10003,  3602,1006068,East Village,"(40.724296, -73.990793)"
6205 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058010008,08/21/2021,Open,Graffiti Reported,,979408,171804,40.638238,-74.017446,11220, 122  ,3144008,Sunset Park West,"(40.638238, -74.017446)"
125-04 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4093340001,06/28/2021,Open,Site downloaded for cleaning,,1032634,194714,40.700990,-73.825503,11418, 14201,4196120,Richmond Hill,"(40.70099, -73.825503)"
10-17 44 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4004530001,12/20/2021,Open,Site to be cleaned.,,998060,212594,40.750187,-73.950157,11101,  19  ,4439570,Hunters Point-Sunnyside-West Maspeth,"(40.750187, -73.950157)"
186 VAN DYKE STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005960022,08/01/2021,Open,Site downloaded for cleaning,,979607,185949,40.677063,-74.016739,11231,  53  ,3008782,Carroll Gardens-Columbia Street-Red Hook,"(40.677063, -74.016739)"
136 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017370031,08/23/2021,Open,Graffiti Reported,,997381,192761,40.695752,-73.952647,11205,1237  ,3000000,Bedford,"(40.695752, -73.952647)"
317 HOWARD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015590001,08/16/2021,Open,Graffiti Reported,,1006662,185955,40.677052,-73.919200,11233, 301  ,3042338,Ocean Hill,"(40.677052, -73.9192)"
6 BAY   50 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069040038,01/03/2022,Open,Site to be cleaned.,,988716,153664,40.588447,-73.983920,11214, 306  ,3336503,Gravesend,"(40.588447, -73.98392)"
48-51 36 STREET,QUEENS,02 QUEENS,Precinct 108,26,4002360028,12/28/2021,Open,Site to be cleaned.,,1003663,208545,40.739063,-73.929947,11101, 189  ,4003375,Hunters Point-Sunnyside-West Maspeth,"(40.739063, -73.929947)"
35-48 JUNCTION BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,4014690026,09/09/2021,Open,Graffiti Reported,,1019816,213642,40.753003,-73.871631,11368, 273  ,4036186,Jackson Heights,"(40.753003, -73.871631)"
2071 FULTON STREET,BROOKLYN,16 BROOKLYN,Precinct 73,37,3015420009,01/06/2022,Open,Site to be cleaned.,,1009164,186395,40.678253,-73.910178,11233, 369  ,3042010,Ocean Hill,"(40.678253, -73.910178)"
94-14 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4018770002,09/22/2021,Open,Graffiti Reported,,1020398,209744,40.742302,-73.869551,11373, 461  ,4046347,Elmhurst,"(40.742302, -73.869551)"
70-01 60 STREET,QUEENS,05 QUEENS,Precinct 104,30,4035170005,04/14/2021,Open,Site downloaded for cleaning,,1012312,194847,40.701443,-73.898794,11385, 583  ,4084425,Ridgewood,"(40.701443, -73.898794)"
38-23 104 STREET,QUEENS,03 QUEENS,Precinct 115,21,4017750077,07/22/2021,Open,Site downloaded for cleaning,,1022429,212869,40.750871,-73.862204,11368, 403  ,4044596,North Corona,"(40.750871, -73.862204)"
86-29 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4014740037,11/29/2021,Open,Graffiti Reported,,1017581,211847,40.748085,-73.879707,11372, 279  ,4036259,Jackson Heights,"(40.748085, -73.879707)"
2208 BOLLER AVENUE,BRONX,10 BRONX,Precinct 45,12,2051350001,09/27/2021,Open,Graffiti Reported,,1032745,252819,40.860472,-73.824683,10475, 302  ,2000000,Co-op City,"(40.860472, -73.824683)"
1204 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,41,3016130019,07/12/2021,Open,Site downloaded for cleaning,,1004589,191438,40.692107,-73.926657,11221, 387  ,3399422,Stuyvesant Heights,"(40.692107, -73.926657)"
660/ 64 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/08/2021,Open,Property Research Required,,,,,,,,,,
210 PORT RICHMOND AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 121,49,5010800034,07/27/2021,Open,Site downloaded for cleaning,,946877,171093,40.636209,-74.134655,10302, 207  ,5025462,Port Richmond,"(40.636209, -74.134655)"
2872 BRIGHTON    4 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072610095,06/02/2021,Open,Site downloaded for cleaning,,994080,150998,40.581126,-73.964612,11235, 366  ,3196369,Brighton Beach,"(40.581126, -73.964612)"
5806 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008560039,08/11/2021,Open,Graffiti Reported,,980671,172151,40.639191,-74.012896,11220, 102  ,3016075,Sunset Park East,"(40.639191, -74.012896)"
30-38 92 STREET,QUEENS,03 QUEENS,Precinct 115,22,4013890025,11/29/2021,Open,Site downloaded for cleaning,,1018353,216563,40.761026,-73.876896,11369, 351  ,4033587,Jackson Heights,"(40.761026, -73.876896)"
3842 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3078580045,06/03/2021,Open,Graffiti Reported,,1001526,165044,40.619668,-73.937770,11234, 648  ,3219247,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.619668, -73.93777)"
5102 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007970037,08/18/2021,Open,Graffiti Reported,,980014,175009,40.647035,-74.015265,11220,  20  ,3013477,Sunset Park West,"(40.647035, -74.015265)"
30-18 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4005930034,11/09/2021,Open,Graffiti Reported,,1005897,218483,40.766336,-73.921853,11102,  63  ,4007653,Astoria,"(40.766336, -73.921853)"
28-28 FRANCIS LEWIS BOULEVARD,QUEENS,07 QUEENS,Precinct 109,19,4049320001,07/19/2021,Open,Site downloaded for cleaning,,1041390,220234,40.770983,-73.793707,11358,1141  ,4111671,Murray Hill,"(40.770983, -73.793707)"
778 48 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007770036,12/08/2021,Open,Site downloaded for cleaning,,983363,173400,40.642620,-74.003196,11220, 108  ,3012768,Sunset Park East,"(40.64262, -74.003196)"
21-02 23 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008800054,11/15/2021,Open,Graffiti Reported,,1008128,223986,40.781497,-73.913700,11105, 103  ,4019650,Steinway,"(40.781497, -73.9137)"
1420 SHAKESPEARE AVENUE,BRONX,04 BRONX,Precinct 44,16,2028720100,08/23/2021,Open,Site downloaded for cleaning,,1006171,246274,40.842613,-73.920773,10452, 21302,2008667,Highbridge,"(40.842613, -73.920773)"
1670 YORK AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,05,1015840049,08/23/2021,Open,Graffiti Reported,,999130,222389,40.777070,-73.946274,10128, 14402,1078788,Yorkville,"(40.77707, -73.946274)"
2325 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,14,,08/20/2021,Open,Property Research Required,,1012039,251937,40.858140,-73.899542,10468, 23703,,Fordham South,"(40.85814, -73.899542)"
2516 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070130001,10/29/2021,Open,Site downloaded for cleaning,,986211,149883,40.578073,-73.992923,11224, 328  ,3188879,Seagate-Coney Island,"(40.578073, -73.992923)"
56 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004000039,09/29/2021,Open,Site downloaded for cleaning,,989110,202822,40.723375,-73.982466,10009,  32  ,1005028,East Village,"(40.723375, -73.982466)"
139-40 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4096850006,08/18/2021,Open,Site downloaded for cleaning,,1035773,195989,40.704472,-73.814172,11435, 214  ,4206927,Briarwood-Jamaica Hills,"(40.704472, -73.814172)"
7107 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3061800063,11/30/2021,Open,Site downloaded for cleaning,,984508,164720,40.618795,-73.999071,11228, 262  ,3157779,Bensonhurst West,"(40.618795, -73.999071)"
78 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004160069,08/27/2021,Open,Site downloaded for cleaning,,987210,201728,40.720390,-73.989379,10002,  3001,1005536,Chinatown,"(40.72039, -73.989379)"
58-29 64 STREET,QUEENS,05 QUEENS,Precinct 104,30,4027530220,11/02/2021,Open,Site downloaded for cleaning,,1011739,201789,40.720498,-73.900832,11378, 521  ,4440991,Maspeth,"(40.720498, -73.900832)"
160-08 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4097640059,10/22/2021,Open,Site downloaded for cleaning,,1039231,197289,40.708019,-73.801690,11432, 44602,4208951,Jamaica,"(40.708019, -73.80169)"
511/51 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/08/2021,Open,Property Research Required,,,,,,,,,,
59-09 56 STREET,QUEENS,05 QUEENS,Precinct 104,30,4026310012,09/14/2021,Open,Graffiti Reported,,1008576,200495,40.716956,-73.912247,11378, 535  ,4059122,Maspeth,"(40.716956, -73.912247)"
3251 WHITEPLAINS ROAD,BRONX,12 BRONX,Precinct 47,15,2045950026,12/14/2021,Open,Site downloaded for cleaning,,1020995,257122,40.872339,-73.867137,10467, 374  ,2056223,Williamsbridge-Olinville,"(40.872339, -73.867137)"
741 65 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38,3058210061,12/08/2021,Open,Graffiti Reported,,980425,170037,40.633388,-74.013781,11220, 120  ,3328809,Sunset Park East,"(40.633388, -74.013781)"
7517 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059400004,12/28/2021,Open,Graffiti Reported,,976518,169268,40.631275,-74.027856,11209,  66  ,3148708,Bay Ridge,"(40.631275, -74.027856)"
4501/ 4 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/05/2021,Open,Property Research Required,,,,,,,,,,
72-10 51 ROAD,QUEENS,02 QUEENS,Precinct 108,30,4024650010,08/06/2021,Open,Site downloaded for cleaning,,1014457,207413,,,,,,,
223 KICKERBOCKER AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,06/24/2021,Open,Property Research Required,,,,,,,,,,
2725 EAST   11 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3087620046,07/09/2021,Closed,Cleaning crew dispatched.  Property cleaned.,12/13/2021,995608,152196,40.584412,-73.959109,11235, 608  ,3246910,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.584412, -73.959109)"
7208 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059070041,07/10/2021,Open,Site downloaded for cleaning,,976751,170034,40.633378,-74.027018,11209,  66  ,3147303,Bay Ridge,"(40.633378, -74.027018)"
86-16 60 ROAD,QUEENS,06 QUEENS,Precinct 112,29,4028850007,10/05/2021,Open,Site downloaded for cleaning,,1019540,205373,,,,,,,
742 9 th Avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,07/29/2021,Open,Property Research Required,,,,,,,,,,
6119/ 5 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/21/2021,Open,Property Research Required,,,,,,,,,,
6756 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058540045,07/28/2021,Open,Graffiti Reported,,977853,170917,40.635802,-74.023048,11220,  68  ,3144673,Bay Ridge,"(40.635802, -74.023048)"
176 AVENUE P,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066230010,08/05/2021,Open,Site downloaded for cleaning,,989314,160731,40.607845,-73.981762,11204, 426  ,3175410,Bensonhurst East,"(40.607845, -73.981762)"
2317 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073280044,09/29/2021,Open,Graffiti Reported,,998614,157780,40.599735,-73.948275,11229, 576  ,3198513,Madison,"(40.599735, -73.948275)"
148 KINGSLAND AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028340009,12/19/2021,Open,Site to be cleaned.,,1000615,202143,40.721498,-73.940961,11222, 449  ,3069857,East Williamsburg,"(40.721498, -73.940961)"
50-22 23 STREET,QUEENS,02 QUEENS,Precinct 108,26,4000700029,09/24/2021,Open,Graffiti Reported,,998860,209273,40.741071,-73.947277,11101,   1  ,4000537,Hunters Point-Sunnyside-West Maspeth,"(40.741071, -73.947277)"
3303 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,40,3048700040,10/01/2021,Open,Graffiti Reported,,999091,176445,40.650965,-73.946516,11203, 818  ,3108642,Erasmus,"(40.650965, -73.946516)"
1171 DEKALB AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032300025,06/01/2021,Open,Site downloaded for cleaning,,1003975,192403,40.694757,-73.928868,11221, 393  ,3073461,Bushwick South,"(40.694757, -73.928868)"
39-02 LITTLE NECK PARKWAY,QUEENS,11 QUEENS,Precinct 111,19,4081620406,07/24/2021,Open,Graffiti Reported,,1055591,221559,40.774517,-73.742424,11363,1483  ,4169876,Douglas Manor-Douglaston-Little Neck,"(40.774517, -73.742424)"
770 45 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007500034,08/05/2021,Open,Site downloaded for cleaning,,983813,174040,40.644377,-74.001575,11220,  94  ,3011732,Sunset Park East,"(40.644377, -74.001575)"
932 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,3054030013,11/08/2021,Open,Site downloaded for cleaning,,992893,171191,40.636552,-73.968859,11218, 482  ,3337132,Flatbush,"(40.636552, -73.968859)"
656 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058020028,11/12/2021,Open,Site downloaded for cleaning,,980380,171089,40.636276,-74.013944,11220, 118  ,3144041,Sunset Park East,"(40.636276, -74.013944)"
4415 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007380004,12/08/2021,Open,Site downloaded for cleaning,,981690,175972,40.649679,-74.009226,11220,  80  ,3011175,Sunset Park West,"(40.649679, -74.009226)"
32-02 57 STREET,QUEENS,01 QUEENS,Precinct 114,26,4011580089,09/20/2021,Open,Site downloaded for cleaning,,1010767,214498,40.755384,-73.904288,11377, 297  ,4026059,Woodside,"(40.755384, -73.904288)"
8520 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063450039,12/06/2021,Open,Property Research Required,,984855,159709,40.605041,-73.997821,11214, 284  ,3329076,Bensonhurst West,"(40.605041, -73.997821)"
2403 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039730046,08/10/2021,Open,Site downloaded for cleaning,,1026822,244345,40.837244,-73.846149,10461, 202  ,2041713,Westchester-Unionport,"(40.837244, -73.846149)"
2117 AVENUE Z,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074410333,09/29/2021,Open,Site downloaded for cleaning,,998674,153747,40.588665,-73.948067,11235, 59401,3204448,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.588665, -73.948067)"
2001 NEWBOLD AVENUE,BRONX,09 BRONX,Precinct 43,18,2038050078,07/29/2021,Open,Site downloaded for cleaning,,1023848,242658,40.832627,-73.856907,10462,  92  ,2026282,Westchester-Unionport,"(40.832627, -73.856907)"
133-03 36 ROAD,QUEENS,07 QUEENS,Precinct 109,20,4049680001,08/08/2021,Open,Graffiti Reported,,1029973,216612,,,,,,,
1360 BRUCKNER BOULEVARD,BRONX,02 BRONX,Precinct 41,17,2027590042,10/20/2021,Open,Graffiti Reported,,1015897,238937,40.822446,-73.885657,10459, 11502,2006313,Hunts Point,"(40.822446, -73.885657)"
1611 HANCOCK STREET,QUEENS,05 QUEENS,Precinct 104,34,4035480108,07/29/2021,Open,Graffiti Reported,,1010205,193459,40.697639,-73.906398,11385, 553  ,4085559,Ridgewood,"(40.697639, -73.906398)"
3817 FORT HAMILTON PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,39,3052900029,11/22/2021,Open,Graffiti Reported,,987036,173726,40.643514,-73.989961,11218, 226  ,3122981,Borough Park,"(40.643514, -73.989961)"
323 PULASKI STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015940060,07/05/2021,Open,Graffiti Reported,,1001443,192004,40.693667,-73.938000,11206, 281  ,3390018,Stuyvesant Heights,"(40.693667, -73.938)"
102-22 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4017700031,10/21/2021,Open,Site downloaded for cleaning,,1022134,212774,40.750611,-73.863269,11368, 407  ,4044362,North Corona,"(40.750611, -73.863269)"
100 WEST  128 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019120033,09/02/2021,Open,Site downloaded for cleaning,,999597,234345,40.809877,-73.944542,10027, 224  ,1057913,Central Harlem North-Polo Grounds,"(40.809877, -73.944542)"
1716 PITKIN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035220021,01/04/2022,Open,Graffiti Reported,,1009233,183313,40.669794,-73.909941,11212, 906  ,3338516,Brownsville,"(40.669794, -73.909941)"
320 STUYVESANT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016650044,08/24/2021,Open,Site downloaded for cleaning,,1003049,188382,40.683722,-73.932219,11233, 295  ,3046434,Stuyvesant Heights,"(40.683722, -73.932219)"
7826 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059680052,09/05/2021,Open,Graffiti Reported,,976259,168458,40.629052,-74.028789,11209,  64  ,3150263,Bay Ridge,"(40.629052, -74.028789)"
6111 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057910006,12/02/2021,Open,Graffiti Reported,,978937,172495,40.640134,-74.019144,11220, 122  ,3143721,Sunset Park West,"(40.640134, -74.019144)"
64-18 GATES AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4036160014,10/28/2021,Open,Graffiti Reported,,1013101,197846,40.709672,-73.895935,11385, 61301,4087761,Ridgewood,"(40.709672, -73.895935)"
44 AVENUE O,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065970005,12/10/2021,Open,Site downloaded for cleaning,,988824,161610,40.610258,-73.983526,11204, 430  ,3174149,Bensonhurst East,"(40.610258, -73.983526)"
2062 MORRIS AVENUE,BRONX,05 BRONX,Precinct 46,14,2031690071,12/22/2021,Open,Graffiti Reported,,1010480,250279,40.853594,-73.905184,10453, 241  ,2013848,Mount Hope,"(40.853594, -73.905184)"
100-02 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,4017150001,11/29/2021,Open,Site downloaded for cleaning,,1020733,215225,40.757344,-73.868312,11368, 377  ,4042507,North Corona,"(40.757344, -73.868312)"
38-51 11 STREET,QUEENS,01 QUEENS,Precinct 114,26,4004730564,11/10/2021,Open,Graffiti Reported,,1000319,215456,40.758039,-73.941997,11101,  85  ,4005357,Queensbridge-Ravenswood-Long Island City,"(40.758039, -73.941997)"
714 SAINT MARKS AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012270013,12/22/2021,Open,Graffiti Reported,,998294,185260,40.675162,-73.949370,11216, 31701,3030995,Crown Heights North,"(40.675162, -73.94937)"
153 MORTON PLACE,BRONX,05 BRONX,Precinct 46,14,2028680277,08/22/2021,Open,Site downloaded for cleaning,,1007901,249297,40.850906,-73.914510,10453, 243  ,2100349,University Heights-Morris Heights,"(40.850906, -73.91451)"
668 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,06,1012400036,08/30/2021,Open,Site downloaded for cleaning,,992009,227774,40.791860,-73.971979,10025, 179  ,1033614,Upper West Side,"(40.79186, -73.971979)"
1063 GATES AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014790019,11/17/2021,Open,Graffiti Reported,,1005705,190465,40.689433,-73.922636,11221, 375  ,3399369,Stuyvesant Heights,"(40.689433, -73.922636)"
2337 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580064,01/05/2022,Open,Graffiti Reported,,986855,157872,40.599998,-73.990619,11214, 298  ,3185344,Bensonhurst East,"(40.599998, -73.990619)"
6733 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065760074,10/29/2021,Open,Site downloaded for cleaning,,988880,162247,40.612006,-73.983324,11204, 430  ,3173247,Bensonhurst East,"(40.612006, -73.983324)"
